Iteration,Objective,Fairness,Duration
0,1681.442889687019,0.7265777321703437,1666
1,1675.656124965376,0.7228023200181304,1660
2,1675.656124965376,0.7228023200181304,1660
3,1675.656124965376,0.7228023200181304,1660
4,1683.3721087922852,0.7278309349807881,1668
5,1683.3721087922852,0.7278309349807881,1668
6,1669.2517544597401,0.7299618544663574,1654
7,1669.2517544597401,0.7299618544663574,1654
8,1669.2517544597401,0.7299618544663574,1654
9,1665.394444503821,0.727435472666061,1650
10,1631.2180193230113,0.7128537655274199,1615
11,1631.2180193230113,0.7128537655274199,1615
12,1630.2549130922619,0.7122005472333222,1614
13,1630.2549130922619,0.7122005472333222,1614
14,1630.2549130922619,0.7122005472333222,1614
15,1612.1051881188118,0.7148514851485148,1596
16,1612.1051881188118,0.7148514851485148,1596
17,1610.088334530487,0.7151498843752322,1594
18,1610.088334530487,0.7151498843752322,1594
19,1609.0798912188661,0.7152993764365045,1593
20,1609.0798912188661,0.7152993764365045,1593
21,1609.0798912188661,0.7152993764365045,1593
22,1609.0798912188661,0.7152993764365045,1593
23,1622.5610795476543,0.7244851354877081,1607
24,1609.4467467432205,0.7265094415152173,1594
25,1609.4467467432205,0.7265094415152173,1594
26,1609.4467467432205,0.7265094415152173,1594
27,1609.4467467432205,0.7265094415152173,1594
28,1609.4467467432205,0.7265094415152173,1594
29,1609.4467467432205,0.7265094415152173,1594
30,1610.4556097560976,0.7263525184826919,1595
31,1611.418619265348,0.7270074492679168,1596
32,1611.418619265348,0.7270074492679168,1596
33,1611.418619265348,0.7270074492679168,1596
34,1606.054494975233,0.7157490266424771,1590
35,1619.5348646138586,0.7249492809160993,1604
36,1619.5348646138586,0.7249492809160993,1604
37,1624.1236289975423,0.7322303647743954,1609
38,1633.2041454193009,0.7308047907347565,1618
39,1633.2041454193009,0.7308047907347565,1618
40,1630.3134200561697,0.7288700414984142,1615
41,1630.3134200561697,0.7288700414984142,1615
42,1615.9139657559458,0.7359425326496849,1601
43,1617.8408477508551,0.7372371148927918,1603
44,1608.7574390528966,0.7387138977886578,1594
45,1608.7574390528966,0.7387138977886578,1594
46,1608.7574390528966,0.7387138977886578,1594
47,1608.7574390528966,0.7387138977886578,1594
48,1608.7574390528966,0.7387138977886578,1594
49,1608.7574390528966,0.7387138977886578,1594
50,1608.7574390528966,0.7387138977886578,1594
51,1608.7574390528966,0.7387138977886578,1594
52,1608.7574390528966,0.7387138977886578,1594
53,1609.7667539175516,0.7385489745475996,1595
54,1609.7667539175516,0.7385489745475996,1595
55,1609.7667539175516,0.7385489745475996,1595
56,1599.9138551357323,0.7005337263503484,1583
57,1599.9138551357323,0.7005337263503484,1583
58,1599.9138551357323,0.7005337263503484,1583
59,1599.9138551357323,0.7005337263503484,1583
60,1599.9138551357323,0.7005337263503484,1583
61,1599.9138551357323,0.7005337263503484,1583
62,1599.9138551357323,0.7005337263503484,1583
63,1599.9138551357323,0.7005337263503484,1583
64,1599.9138551357323,0.7005337263503484,1583
65,1599.9138551357323,0.7005337263503484,1583
66,1594.141693682592,0.696499757744475,1577
67,1594.141693682592,0.696499757744475,1577
68,1594.141693682592,0.696499757744475,1577
69,1594.141693682592,0.696499757744475,1577
70,1594.141693682592,0.696499757744475,1577
71,1578.755418171791,0.6856335309527092,1561
72,1583.4258948829015,0.6737624843678905,1565
73,1583.4258948829015,0.6737624843678905,1565
74,1565.919235373967,0.700438467174806,1549
75,1565.919235373967,0.700438467174806,1549
76,1565.919235373967,0.700438467174806,1549
77,1548.77999175811,0.7029038286453592,1532
78,1537.2517408034478,0.6945513313837156,1520
79,1537.2517408034478,0.6945513313837156,1520
80,1537.2517408034478,0.6945513313837156,1520
81,1537.2517408034478,0.6945513313837156,1520
82,1537.2517408034478,0.6945513313837156,1520
83,1537.2517408034478,0.6945513313837156,1520
84,1537.2517408034478,0.6945513313837156,1520
85,1537.2517408034478,0.6945513313837156,1520
86,1537.2517408034478,0.6945513313837156,1520
87,1537.2517408034478,0.6945513313837156,1520
88,1537.2517408034478,0.6945513313837156,1520
89,1537.2517408034478,0.6945513313837156,1520
90,1537.2517408034478,0.6945513313837156,1520
91,1537.2517408034478,0.6945513313837156,1520
92,1537.2517408034478,0.6945513313837156,1520
93,1537.2517408034478,0.6945513313837156,1520
94,1537.2517408034478,0.6945513313837156,1520
95,1537.2517408034478,0.6945513313837156,1520
96,1537.2517408034478,0.6945513313837156,1520
97,1537.2517408034478,0.6945513313837156,1520
98,1537.2517408034478,0.6945513313837156,1520
99,1537.2517408034478,0.6945513313837156,1520
100,1537.2517408034478,0.6945513313837156,1520
101,1537.2517408034478,0.6945513313837156,1520
102,1537.2517408034478,0.6945513313837156,1520
103,1537.2517408034478,0.6945513313837156,1520
104,1537.2517408034478,0.6945513313837156,1520
105,1537.2517408034478,0.6945513313837156,1520
106,1537.2517408034478,0.6945513313837156,1520
107,1537.2517408034478,0.6945513313837156,1520
108,1537.2517408034478,0.6945513313837156,1520
109,1537.2517408034478,0.6945513313837156,1520
110,1537.2517408034478,0.6945513313837156,1520
111,1537.2517408034478,0.6945513313837156,1520
112,1537.2517408034478,0.6945513313837156,1520
113,1537.2517408034478,0.6945513313837156,1520
114,1537.2517408034478,0.6945513313837156,1520
115,1537.2517408034478,0.6945513313837156,1520
116,1537.2517408034478,0.6945513313837156,1520
117,1537.2517408034478,0.6945513313837156,1520
118,1537.2517408034478,0.6945513313837156,1520
119,1537.2517408034478,0.6945513313837156,1520
120,1537.2517408034478,0.6945513313837156,1520
121,1537.2517408034478,0.6945513313837156,1520
122,1530.1954096810557,0.695548695448731,1513
123,1530.1954096810557,0.695548695448731,1513
124,1530.1954096810557,0.695548695448731,1513
125,1530.1954096810557,0.695548695448731,1513
126,1530.1954096810557,0.695548695448731,1513
127,1530.1954096810557,0.695548695448731,1513
128,1530.1954096810557,0.695548695448731,1513
129,1530.1954096810557,0.695548695448731,1513
130,1530.1954096810557,0.695548695448731,1513
131,1530.1954096810557,0.695548695448731,1513
132,1530.1954096810557,0.695548695448731,1513
133,1530.1954096810557,0.695548695448731,1513
134,1530.1954096810557,0.695548695448731,1513
135,1530.1954096810557,0.695548695448731,1513
136,1530.1954096810557,0.695548695448731,1513
137,1530.1954096810557,0.695548695448731,1513
138,1530.1954096810557,0.695548695448731,1513
139,1530.1954096810557,0.695548695448731,1513
140,1530.1954096810557,0.695548695448731,1513
141,1530.1954096810557,0.695548695448731,1513
142,1530.1954096810557,0.695548695448731,1513
143,1530.1954096810557,0.695548695448731,1513
144,1530.1954096810557,0.695548695448731,1513
145,1548.7430794605036,0.7212627574273439,1533
146,1548.7430794605036,0.7212627574273439,1533
147,1548.7430794605036,0.7212627574273439,1533
148,1532.4061354254009,0.709523097992193,1516
149,1532.4061354254009,0.709523097992193,1516
150,1515.2088392658252,0.7130163019506873,1499
151,1515.2088392658252,0.7130163019506873,1499
152,1515.2088392658252,0.7130163019506873,1499
153,1515.2088392658252,0.7130163019506873,1499
