Iteration,Objective,Fairness,Duration
0,1573.7736694263594,0.5237646348886327,1550
1,1573.7736694263594,0.5237646348886327,1550
2,1571.7721019830028,0.5237960339943343,1548
3,1574.7744515987445,0.5237489663713069,1551
4,1574.7744515987445,0.5237489663713069,1551
5,1574.7744515987445,0.5237489663713069,1551
6,1574.7744515987445,0.5237489663713069,1551
7,1574.7744515987445,0.5237489663713069,1551
8,1574.7744515987445,0.5237489663713069,1551
9,1574.7744515987445,0.5237489663713069,1551
10,1574.7744515987445,0.5237489663713069,1551
11,1574.7744515987445,0.5237489663713069,1551
12,1575.775232740986,0.5237333184898624,1552
13,1575.775232740986,0.5237333184898624,1552
14,1575.775232740986,0.5237333184898624,1552
15,1575.775232740986,0.5237333184898624,1552
16,1567.7689546445397,0.5238590816398284,1544
17,1569.770530394548,0.5238275161348578,1546
18,1569.770530394548,0.5238275161348578,1546
19,1569.770530394548,0.5238275161348578,1546
20,1569.770530394548,0.5238275161348578,1546
21,1569.770530394548,0.5238275161348578,1546
22,1569.770530394548,0.5238275161348578,1546
23,1558.7618118246833,0.5240021669734914,1535
24,1558.7618118246833,0.5240021669734914,1535
25,1558.7618118246833,0.5240021669734914,1535
26,1558.7618118246833,0.5240021669734914,1535
27,1555.7594118193445,0.5240502440035154,1532
28,1547.7529645758857,0.5241793955151122,1524
29,1547.7529645758857,0.5241793955151122,1524
30,1547.7529645758857,0.5241793955151122,1524
31,1523.733200832606,0.524575303834016,1500
32,1523.733200832606,0.524575303834016,1500
33,1523.733200832606,0.524575303834016,1500
34,1523.733200832606,0.524575303834016,1500
35,1523.733200832606,0.524575303834016,1500
36,1523.733200832606,0.524575303834016,1500
37,1523.733200832606,0.524575303834016,1500
38,1534.7423389089452,0.5243922494201673,1511
39,1534.7423389089452,0.5243922494201673,1511
40,1534.7423389089452,0.5243922494201673,1511
41,1534.7423389089452,0.5243922494201673,1511
42,1534.7423389089452,0.5243922494201673,1511
43,1533.7415138005458,0.5244087780339397,1510
44,1531.7398602265598,0.5244419025128224,1508
45,1531.7398602265598,0.5244419025128224,1508
46,1531.7398602265598,0.5244419025128224,1508
47,1531.7398602265598,0.5244419025128224,1508
48,1531.7398602265598,0.5244419025128224,1508
49,1531.7398602265598,0.5244419025128224,1508
